Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
140	429.6531	425.6282	4.02485	23.90093	0.007934421	-0.02189656	0.01414996	0.9208363	0.804093	1	0.01498478	87.35952	0.01406129	-0.2765985
141	428.2671	424.9457	3.321397	32.22364	0.006709838	0.02531072	0.01660551	0.8829085	0.7700742	1	0.01492784	103.3031	0.01637784	0.2161618
142	429.2849	425.1208	4.164055	20.2424	0.008677698	-0.02316949	0.01360225	0.9375773	0.8204459	1	0.01536465	79.87685	0.01354925	-0.3711707
143	428.0644	424.0926	3.971842	18.20508	0.009178926	-0.01909287	0.01428609	0.9468184	0.8300687	1	0.01619451	75.51506	0.01424569	-0.3590129
144	428.4765	424.8901	3.586428	22.8937	0.008122416	-0.0256923	0.01576176	0.9254533	0.8084907	1	0.01600147	85.33757	0.01567416	-0.3446472
145	428.9963	425.2386	3.757756	26.83493	0.007443892	-0.06456768	0.01509065	0.9073976	0.7916685	1	0.01498887	93.11623	0.01496124	-0.697257
146	429.3098	425.8986	3.411165	30.80769	0.006885694	-0.04986986	0.01650202	0.8893089	0.7756151	1	0.015075	100.6648	0.01629983	-0.4505318
147	429.2706	425.7578	3.512831	29.03815	0.007121472	-0.001463584	0.01604128	0.8973447	0.7826675	1	0.01511539	97.33201	0.01587224	-0.01425727
148	428.4705	425.0147	3.455769	41.48405	0.005769248	-0.03363279	0.01658137	0.8418387	0.7356532	1	0.013832	120.1451	0.01616659	-0.2126487
149	427.6878	425.2292	2.458588	57.42468	0.004662036	0.003587642	0.02084604	0.7746768	0.6815135	1	0.01394166	148.6791	0.01978768	0.01592221
150	427.4574	425.1577	2.299656	61.61342	0.004435426	-0.00917593	0.02173768	0.7577497	0.668033	1	0.01388639	156.2752	0.020462	-0.03787789
151	428.3896	425.3359	3.053699	31.24781	0.006829884	-0.02984384	0.01787758	0.8873165	0.7738835	1	0.01562701	101.4874	0.01765058	-0.2648466
152	429.4581	425.6375	3.820634	24.00995	0.007914732	-0.04426055	0.01490079	0.9203365	0.8036214	1	0.01535811	87.57683	0.01480623	-0.555594
153	429.1981	425.3449	3.853175	28.27634	0.00722907	0.0003918947	0.01475809	0.9008153	0.7857507	1	0.01460735	95.88331	0.01461291	0.003951163
154	429.5278	425.7499	3.777972	24.1473	0.007890102	-0.03167959	0.01507263	0.9197068	0.8030283	1	0.01542236	87.85022	0.01497546	-0.3945491
155	428.8621	424.8734	3.988681	23.0697	0.008088747	-0.06315829	0.01420036	0.9246467	0.8077169	1	0.01515672	85.69277	0.01411973	-0.8381625
156	427.869	424.2161	3.652889	22.6812	0.008163547	-0.06793458	0.01540708	0.926427	0.809428	1	0.01586042	84.9076	0.01532368	-0.9233634
157	429.2252	425.3185	3.906657	24.67097	0.007797944	-0.05738649	0.01454883	0.9173064	0.800779	1	0.01506326	88.88846	0.01444934	-0.6939649
158	428.8079	424.7953	4.012606	22.78545	0.008143302	-0.06368361	0.01410629	0.9259494	0.8089677	1	0.01515729	85.11869	0.01402893	-0.860001
159	428.5021	425.1099	3.392158	35.74909	0.006313735	-0.07203329	0.01655487	0.8671036	0.7566282	1	0.01445843	109.784	0.01626249	-0.5420258
160	428.4862	425.3537	3.132487	33.22438	0.006591703	-0.06367644	0.01753198	0.8784024	0.7662088	1	0.015203	105.1545	0.01727275	-0.5236652
161	429.2186	426.0469	3.171676	35.89136	0.006298856	-0.00391303	0.01745797	0.86647	0.7560953	1	0.01483005	110.0434	0.01714669	-0.0293045
162	427.6356	424.7739	2.861665	36.3269	0.006253786	0.02827347	0.01839271	0.8645324	0.7544679	1	0.01516734	110.8364	0.01805518	0.2087102
163	428.3104	424.6107	3.699712	36.3269	0.006253786	-0.05434133	0.01551083	0.8645324	0.7544679	1	0.01392849	110.8364	0.01522618	-0.4011389
164	427.4339	425.0976	2.336211	61.73754	0.004429011	-0.02585074	0.02164	0.7572525	0.6676374	1	0.01384513	156.5016	0.02036483	-0.1064923
