species,log10_carL,log10_cheL,log10_cheW,log10_cheD
BOTH_Brachistosternus_kamanchaca,0.6804367566042813,0.7851097167384126,0.15174922289615683,0.24991224791978983
BOTH_Brachistosternus_kovariki,0.721878627021193,0.8832056798999917,0.33443513347689785,0.424863222098164
BOTH_Brachistosternus_montanus,0.7481880270062004,0.8832064235561997,0.2683423363104651,0.3747135495608744
BOTH_Brachistosternus_multidentatus,0.966480275497948,1.0550465931053192,0.35109459734388526,0.4770005838407851
BOTH_Brachistosternus_negrei,0.8527197347912279,0.9362878954511596,0.376515611695287,0.49817044890414464
BOTH_Brachistosternus_ninapo,0.7584857162346635,0.8627385602605152,0.29443824795674944,0.4410629598850158
BOTH_Brachistosternus_ochoai,0.7827733883039014,0.9595055558383028,0.3412440212930693,0.4502245316410539
BOTH_Brachistosternus_paposo,0.7580395129295143,0.8667230250961528,0.21278341198262923,0.3285087936701844
BOTH_Brachistosternus_paulae,0.627636252551653,0.6989700043360189,0.13765567727090583,0.1959084618066244
BOTH_Brachistosternus_pegnai,0.8020114513429514,0.9964558370505634,0.40217877373338096,0.5003579976806374
BOTH_Brachistosternus_pentheri,0.9128078169716294,0.9966916591510268,0.3644283925787524,0.5037906830571811
BOTH_Brachistosternus_perettii,0.8615081147335387,0.8617680599470854,0.2535769798279168,0.3464498856866713
BOTH_Brachistosternus_peruvianus,0.9369507989322308,1.0829484549962536,0.5246090113350907,0.5986402790628097
BOTH_Brachistosternus_piacentinii,0.7807558109892132,0.8988310873221217,0.3381638669406601,0.4301690032854968
BOTH_Brachistosternus_prendinii,0.8122462434239597,0.9537271790498474,0.3530173303571753,0.46241090757708786
BOTH_Brachistosternus_quiscapata,0.7093163436770328,0.8829087576549591,0.28874589991861266,0.35121526822276267
BOTH_Brachistosternus_roigalsinai,0.8794514064879593,0.9705518898646848,0.30929596614261373,0.4158229267144905
BOTH_Brachistosternus_sciosciae,0.7100769302372991,0.8419848045901139,0.25996647326340516,0.3611359297925181
BOTH_Brachistosternus_simoneae,0.6532125137753437,0.7781512503836436,0.07918124604762482,0.146128035678238
BOTH_Brachistosternus_telteca,0.7094695018544166,0.7395723444500919,0.09668754030784953,0.23951397938027363
BOTH_Brachistosternus_titicaca,0.6618322678040501,0.8094422424977252,0.23417366520607863,0.32271113467454593
BOTH_Brachistosternus_turpuq,0.8154680595320958,0.951762032235631,0.3116246451989503,0.4146518864155125
BOTH_Brachistosternus_weijenberghii,0.6962268255757531,0.8089349194172466,0.16202536579086296,0.39269695325966575
BOTH_Brachistosternus_zambrunoi,0.7130220921918997,0.8029336087088987,0.2122611485433164,0.3530173303571753
BOTH_Cercophonius_sulcatus,0.5368096929490859,0.7652842498550626,0.19648909327127032,0.1554528146880707
BOTH_Thestylus_aurantiurus,0.6221385604009215,0.7558080102845688,0.2041199826559248,0.21728445201709937
